Oligo,ht.key,assay,in.sample
HTO_0251,HT1,HTO,TRUE
HTO_0252,HT2,HTO,TRUE
HTO_0253,HT3,HTO,TRUE
HTO_0254,HT4,HTO,TRUE
HTO_0255,HT5,HTO,TRUE
HTO_0256,HT6,HTO,TRUE
HTO_0257,HT7,HTO,TRUE
HTO_0258,HT8,HTO,TRUE
P_CD268_BAFFR,NA,Prot,TRUE
P_CD14,NA,Prot,TRUE
P_CD20,NA,Prot,TRUE
P_CD24,NA,Prot,TRUE
P_CD80,NA,Prot,TRUE
P_CD82,NA,Prot,TRUE
P_CD85j,NA,Prot,TRUE
P_CD185_CXCR5,NA,Prot,TRUE
P_CD307d_FcRL4,NA,Prot,TRUE
P_IgG1_m_iso,NA,Prot,TRUE
P_IgG2a_m_iso,NA,Prot,TRUE
P_IgG2b_m_iso,NA,Prot,TRUE
P_IgG2b_r_iso,NA,Prot,TRUE
P_CD196_CCR6,NA,Prot,TRUE
P_CD1c,NA,Prot,TRUE
P_CD27,NA,Prot,TRUE
P_CD3,NA,Prot,TRUE
P_CD38,NA,Prot,TRUE
P_CD40,NA,Prot,TRUE
P_CD45RA,NA,Prot,TRUE
P_CD45RB,NA,Prot,TRUE
P_CD52,NA,Prot,TRUE
P_CD56,NA,Prot,TRUE
P_CD71,NA,Prot,TRUE
P_CD72,NA,Prot,TRUE
P_CD73,NA,Prot,TRUE
P_CD95,NA,Prot,TRUE
P_CD99,NA,Prot,TRUE
P_CD183_CXCR3,NA,Prot,TRUE
P_FCRL5,NA,Prot,TRUE
P_HLADR,NA,Prot,TRUE
P_IgD,NA,Prot,TRUE
P_IgG,NA,Prot,TRUE
P_IgM,NA,Prot,TRUE
P_IgA,NA,Prot,TRUE
P_ITGB7,NA,Prot,TRUE
P_LAIR1,NA,Prot,TRUE
P_CD11c,NA,Prot,TRUE
P_CD19,NA,Prot,TRUE
P_CD21,NA,Prot,TRUE
P_CD22,NA,Prot,TRUE
P_CD32,NA,Prot,TRUE
P_CD35,NA,Prot,TRUE
P_CD39,NA,Prot,TRUE
P_CD4,NA,Prot,TRUE
P_CD49d,NA,Prot,TRUE
P_CD69,NA,Prot,TRUE
P_ITGB2_CD18,NA,Prot,TRUE
P_CD29,NA,Prot,TRUE
P_CD31,NA,Prot,TRUE
P_CD44,NA,Prot,TRUE
P_CD45,NA,Prot,TRUE
P_CD62L,NA,Prot,TRUE
P_CD86,NA,Prot,TRUE
Proto_RBD_PE,NA,Probes,TRUE
BA1_RBD_PE,NA,Probes,TRUE
XBB_RBD_no_fluor,NA,Probes,TRUE
Beta_RBD_no_fluor,NA,Probes,TRUE
