Oligo,Oligo,ht.key,assay,in.sample
HTO_0251,HTO_0251,HT1,HTO,TRUE
HTO_0252,HTO_0252,HT2,HTO,TRUE
HTO_0253,HTO_0253,HT3,HTO,TRUE
HTO_0254,HTO_0254,HT4,HTO,TRUE
HTO_0255,HTO_0255,HT5,HTO,TRUE
HTO_0256,HTO_0256,HT6,HTO,TRUE
HTO_0257,HTO_0257,HT7,HTO,TRUE
HTO_0258,HTO_0258,HT8,HTO,TRUE
P_CD268_BAFFR,P_CD268_BAFFR,NA,Prot,TRUE
P_CD14,P_CD14,NA,Prot,TRUE
P_CD20,P_CD20,NA,Prot,TRUE
P_CD24,P_CD24,NA,Prot,TRUE
P_CD80,P_CD80,NA,Prot,TRUE
P_CD82,P_CD82,NA,Prot,TRUE
P_CD85j,P_CD85j,NA,Prot,TRUE
P_CD185_CXCR5,P_CD185_CXCR5,NA,Prot,TRUE
P_CD307d_FcRL4,P_CD307d_FcRL4,NA,Prot,TRUE
P_IgG1_m_iso,P_IgG1_m_iso,NA,Prot,TRUE
P_IgG2a_m_iso,P_IgG2a_m_iso,NA,Prot,TRUE
P_IgG2b_m_iso,P_IgG2b_m_iso,NA,Prot,TRUE
P_IgG2b_r_iso,P_IgG2b_r_iso,NA,Prot,TRUE
P_CD196_CCR6,P_CD196_CCR6,NA,Prot,TRUE
P_CD1c,P_CD1c,NA,Prot,TRUE
P_CD27,P_CD27,NA,Prot,TRUE
P_CD3,P_CD3,NA,Prot,TRUE
P_CD38,P_CD38,NA,Prot,TRUE
P_CD40,P_CD40,NA,Prot,TRUE
P_CD45RA,P_CD45RA,NA,Prot,TRUE
P_CD45RB,P_CD45RB,NA,Prot,TRUE
P_CD52,P_CD52,NA,Prot,TRUE
P_CD56,P_CD56,NA,Prot,TRUE
P_CD71,P_CD71,NA,Prot,TRUE
P_CD72,P_CD72,NA,Prot,TRUE
P_CD73,P_CD73,NA,Prot,TRUE
P_CD95,P_CD95,NA,Prot,TRUE
P_CD99,P_CD99,NA,Prot,TRUE
P_CD183_CXCR3,P_CD183_CXCR3,NA,Prot,TRUE
P_FCRL5,P_FCRL5,NA,Prot,TRUE
P_HLADR,P_HLADR,NA,Prot,TRUE
P_IgD,P_IgD,NA,Prot,TRUE
P_IgG,P_IgG,NA,Prot,TRUE
P_IgM,P_IgM,NA,Prot,TRUE
P_IgA,P_IgA,NA,Prot,TRUE
P_ITGB7,P_ITGB7,NA,Prot,TRUE
P_LAIR1,P_LAIR1,NA,Prot,TRUE
P_CD11c,P_CD11c,NA,Prot,TRUE
P_CD19,P_CD19,NA,Prot,TRUE
P_CD21,P_CD21,NA,Prot,TRUE
P_CD22,P_CD22,NA,Prot,TRUE
P_CD32,P_CD32,NA,Prot,TRUE
P_CD35,P_CD35,NA,Prot,TRUE
P_CD39,P_CD39,NA,Prot,TRUE
P_CD4,P_CD4,NA,Prot,TRUE
P_CD49d,P_CD49d,NA,Prot,TRUE
P_CD69,P_CD69,NA,Prot,TRUE
P_ITGB2_CD18,P_ITGB2_CD18,NA,Prot,TRUE
P_CD29,P_CD29,NA,Prot,TRUE
P_CD31,P_CD31,NA,Prot,TRUE
P_CD44,P_CD44,NA,Prot,TRUE
P_CD45,P_CD45,NA,Prot,TRUE
P_CD62L,P_CD62L,NA,Prot,TRUE
P_CD86,P_CD86,NA,Prot,TRUE
SA_0951,Proto_RBD_PE,NA,Probes,TRUE
SA_0952,BA1_RBD_PE,NA,Probes,TRUE
SA_C0971,XBB_RBD_no_fluor,NA,Probes,TRUE
SA_C0972,Beta_RBD_no_fluor,NA,Probes,TRUE
